"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","availableForMemProbe","choice_blocks"
"","do_trial","60","333118","0.0-44.0-0.0","1155.6500000879169","","","","51","0,0,1","0","coast","8","probe-201","0.5321284768848858","0.30939714098449445","0.11315186449196674","1","","","","","","","",""
"","do_trial","61","339173","0.0-45.0-0.0","null","","","","null","0,1,0","0","coast","9","probe-20","0.6069188604985574","0.4110651982877971","0.1496548096408833","","","","","","","","",""
"","do_trial","62","344537","0.0-46.0-0.0","810.9299999196082","","","","50","0,1,0","0","coast","10","probe-167","0.5361207869990109","0.2834570391295616","0.27188272559732063","1","","","","","","","",""
"","do_trial","63","350013","0.0-47.0-0.0","925.5250000860542","","","","50","0,1,0","0","coast","11","probe-227","0.5050034954249699","0.359637491095382","0.4411512020984815","1","","","","","","","",""
"","do_trial","64","355241","0.0-48.0-0.0","677.265000063926","","","","49","1,0,1","0","coast","12","probe-194","0.3222739946351639","0.2694820937272235","0.551505965289466","1","","","","","","","",""
"","do_trial","65","360631","0.0-49.0-0.0","840.5500000808388","","","","49","0,1,1","0","coast","13","probe-89","0.38887419207628504","0.2616419294885443","0.49148936300468793","0","","","","","","","",""
"","do_trial","66","365512","0.0-50.0-0.0","327.53499993123114","","","","50","0,0,0","0","coast","14","probe-53","0.33366257321866166","0.12547222568396726","0.3740867760993609","0","","","","","","","",""
"","do_trial","67","370365","0.0-51.0-0.0","301.5799999702722","","","","51","0,1,0","0","coast","15","probe-185","0.3106940897448843","0.39580859247175254","0.5506060348729463","0","","","","","","","",""
"","do_trial","68","375383","0.0-52.0-0.0","464.96000001206994","","","","51","0,1,0","0","coast","16","probe-164","0.20768403101271957","0.3364005218863782","0.6643235939673486","0","","","","","","","",""
"","do_trial","69","380591","0.0-53.0-0.0","656.2550000380725","","","","49","0,0,1","0","coast","17","probe-60","0.38599222603142586","0.34198750112939297","0.7032930204565047","0","","","","","","","",""
"","do_trial","70","386642","0.0-54.0-0.0","null","","","","null","0,1,0","0","coast","18","probe-187","0.39915759818150454","0.2926964804396385","0.6689206879032651","","","","","","","","",""
"","do_trial","71","391612","0.0-55.0-0.0","422.275000018999","","","","50","0,0,0","0","coast","19","probe-238","0.3172677682420056","0.13918476533362178","0.6999360396031261","0","","","","","","","",""
"","do_trial","72","396565","0.0-56.0-0.0","403.30500015988946","","","","49","0,0,0","0","coast","20","probe-115","0.2763479429706505","0.10207686562223754","0.6053960787504201","0","","","","","","","",""
"","do_trial","73","402389","0.0-57.0-0.0","1274.6399999596179","","","","50","1,0,1","0","coast","21","probe-12","0.2728347204459981","0.10974010439083276","0.7706788355360493","0","","","","","","","",""
"","do_trial","74","407419","0.0-58.0-0.0","481.0500000603497","","","","51","0,0,1","0","coast","22","probe-226","0.33838114160878824","0.07462020245432373","0.7949835134420836","1","","","","","","","",""
"","do_trial","75","414086","0.0-59.0-0.0","2116.755000082776","","","","49","1,0,0","0","coast","23","probe-88","0.31058527292110816","0.1919836327686258","0.7741723073760879","1","","","","","","","",""
"","do_trial","76","419625","0.0-60.0-0.0","987.1399998664856","","","","49","1,0,1","0","coast","24","probe-122","0.2990519587563813","0.11809874619947681","0.8144721509548026","1","","","","","","","",""
"","do_trial","77","425091","0.0-61.0-0.0","914.7950001060963","","","","49","1,0,0","0","coast","25","probe-151","0.2708547219513629","0.11018339455455882","0.8416047746146933","1","","","","","","","",""
"","do_trial","78","432043","0.0-62.0-0.0","2404.229999985546","","","","49","0,0,1","0","coast","26","probe-82","0.2903006643245358","0.20101112894165318","0.8571992248646098","0","","","","","","","",""
"","do_trial","79","437907","0.0-63.0-0.0","1315.3550000861287","","","","50","0,0,1","0","coast","27","probe-131","0.33911277357655595","0.053112165699351926","0.8347668638833443","0","","","","","","","",""
"","do_trial","80","444115","0.0-64.0-0.0","1655.5900000967085","","","","49","1,0,1","0","coast","28","probe-211","0.3783636754112421","0.1119247893787177","0.8855015535317938","1","","","","","","","",""
"","do_trial","81","449580","0.0-65.0-0.0","912.1450001839548","","","","51","0,0,1","0","coast","29","probe-233","0.34569785739729886","0.11704511610182453","0.8951530787341602","1","","","","","","","",""
"","do_trial","82","455634","0.0-66.0-0.0","null","","","","null","1,0,0","0","coast","30","probe-141","0.3566959136466752","0.12263710535988208","0.790995262477269","","","","","","","","",""
"","do_trial","83","463005","0.0-67.0-0.0","2821.0950000211596","","","","49","1,0,1","0","coast","31","probe-128","0.45576638428790034","0.15981950329433328","0.8451171548958344","1","","","","","","","",""
"","do_trial","84","468709","0.0-68.0-0.0","1153.8799998816103","","","","49","1,0,1","0","coast","32","probe-23","0.4102980161572863","0.08218058249697449","0.8801910674222682","1","","","","","","","",""
"","do_trial","85","474409","0.0-69.0-0.0","1148.0199999641627","","","","49","0,0,1","0","coast","33","probe-70","0.3434588342624835","0.19453379258557932","0.7252888456906569","0","","","","","","","",""
"","do_trial","86","479878","0.0-70.0-0.0","918.3549999725074","","","","49","0,0,1","0","coast","34","probe-86","0.36767041489917274","0.20717941226214046","0.6303796470503346","0","","","","","","","",""
"","do_trial","87","485082","0.0-71.0-0.0","652.8950000647455","","","","50","0,0,1","0","coast","35","probe-36","0.3496588925367709","0.201977243507164","0.6628397845832531","0","","","","","","","",""
"","do_trial","88","490680","0.0-72.0-0.0","1053.7400001194328","","","","50","1,0,1","0","coast","36","probe-138","0.3996270380513866","0.05816340734049062","0.8634410884735961","0","","","","","","","",""
"","do_trial","89","495613","0.0-73.0-0.0","381.82000000961125","","","","49","0,0,0","0","coast","37","probe-204","0.42784900972591766","0.076594154018367","0.842921299606998","0","","","","","","","",""
"","do_trial","90","500716","0.0-74.0-0.0","555.5600000079721","","","","49","0,0,1","0","coast","38","probe-103","0.5162957885390697","0.1550274039297294","0.9293387175921263","0","","","","","","","",""
"","do_trial","91","506590","0.0-75.0-0.0","1325.8599999826401","","","","51","1,0,1","0","coast","39","probe-162","0.5585103226793703","0.24578866193970605","0.8447950542902607","1","","","","","","","",""
"","do_bye","92","508099","0.0-76.0-0.0","null","","","","null","","","","","","","","","","","","","","","","",""
"","do_travel","93","514103","0.0-77.0-0.0","null","","","","null","","","","","","","","","","","","","","","","",""
"","do_welcome","94","515611","0.0-77.0-1.0","null","","","","null","","","","","","","","","","","","","","","","",""
"","do_trial","95","522478","0.0-78.0-0.0","2316.744999960065","","","","49","1,1,1","1","forest","40","probe-183","0.42511296738254317","0.3461312338830917","1","1","","","","","","","",""
"","do_trial","96","528000","0.0-79.0-0.0","970.2699999324977","","","","49","0,0,1","1","forest","41","probe-27","0.38707526042102414","0.3308420519599642","1","0","","","","","","","",""
"","do_trial","97","532934","0.0-80.0-0.0","385.4400001000613","","","","50","1,0,1","1","forest","42","probe-160","0.382833398438652","0.30406019451360405","1","0","","","","","","","",""
"","do_trial","98","538435","0.0-81.0-0.0","952.3050000425428","","","","50","0,0,1","1","forest","43","probe-33","0.40023443166757394","0.18403987637494804","1","0","","","","","","","",""
"","do_trial","99","543241","0.0-82.0-0.0","253.69499996304512","","","","51","0,0,1","1","forest","44","probe-220","0.5106149469228048","0.17222974986641745","0.8103233457015169","1","","","","","","","",""
"","do_trial","100","548152","0.0-83.0-0.0","361.51000019162893","","","","51","1,1,1","1","forest","45","probe-214","0.4211269010090425","0.19879105645080133","0.8125086537994868","1","","","","","","","",""
"","do_trial","101","554091","0.0-84.0-0.0","1390.1049999985844","","","","51","0,0,1","1","forest","46","probe-85","0.47643506735881774","0.09521916286522256","0.8443930199712967","1","","","","","","","",""
